cat_col,cat_to_code,code_to_cat,is_ordered
q18,"{'Sometimes': 2, 'Rarely': 1, 'Always': 4, 'Often': 3, 'Never': 0, nan: -1}","{2: 'Sometimes', 1: 'Rarely', 4: 'Always', 3: 'Often', 0: 'Never', -1: nan}",True
q24,"{'Never married': 2, 'Widowed': 4, 'Married': 1, 'Divorced': 0, 'Separated': 3, nan: -1}","{2: 'Never married', 4: 'Widowed', 1: 'Married', 0: 'Divorced', 3: 'Separated', -1: nan}",True
q26,"{'Gay': 1, 'Straight': 3, nan: -1, 'Bisexual': 0, 'Other': 2}","{1: 'Gay', 3: 'Straight', -1: nan, 0: 'Bisexual', 2: 'Other'}",True
q28,"{'Hispanic': 2, 'White': 4, 'Other': 3, 'Black': 1, 'Asian': 0}","{2: 'Hispanic', 4: 'White', 3: 'Other', 1: 'Black', 0: 'Asian'}",False
q29,"{'College graduate': 4, 'Some college': 3, 'Post graduate degree': 5, 'High school or G.E.D.': 1, 'Did not complete high school': 0, ""Associate's degree"": 2}","{4: 'College graduate', 3: 'Some college', 5: 'Post graduate degree', 1: 'High school or G.E.D.', 0: 'Did not complete high school', 2: ""Associate's degree""}",True
q30,"{'New York': 32, 'Ohio': 35, 'Michigan': 22, 'Indiana': 14, 'Hawaii': 11, 'California': 4, 'Oregon': 37, 'South Carolina': 40, 'Florida': 9, 'Massachusetts': 21, 'West Virginia': 48, 'Minnesota': 23, 'Kansas': 16, 'Utah': 44, 'Texas': 43, 'New Jersey': 30, 'Pennsylvania': 38, 'Washington': 47, 'South Dakota': 41, 'Arizona': 2, 'Idaho': 12, 'Missouri': 25, 'Georgia': 10, 'Nebraska': 27, 'Kentucky': 17, 'Nevada': 28, 'Delaware': 7, 'Maryland': 20, 'Virginia': 46, 'Alabama': 0, 'Tennessee': 42, 'Montana': 26, 'North Carolina': 33, 'Iowa': 15, 'Illinois': 13, 'Vermont': 45, 'Louisiana': 18, 'Connecticut': 6, 'Maine': 19, 'Oklahoma': 36, 'New Mexico': 31, 'Mississippi': 24, 'North Dakota': 34, 'Rhode Island': 39, 'Wisconsin': 49, 'New Hampshire': 29, 'Colorado': 5, 'Wyoming': 50, 'Arkansas': 3, 'Alaska': 1, 'District of Columbia (DC)': 8}","{32: 'New York', 35: 'Ohio', 22: 'Michigan', 14: 'Indiana', 11: 'Hawaii', 4: 'California', 37: 'Oregon', 40: 'South Carolina', 9: 'Florida', 21: 'Massachusetts', 48: 'West Virginia', 23: 'Minnesota', 16: 'Kansas', 44: 'Utah', 43: 'Texas', 30: 'New Jersey', 38: 'Pennsylvania', 47: 'Washington', 41: 'South Dakota', 2: 'Arizona', 12: 'Idaho', 25: 'Missouri', 10: 'Georgia', 27: 'Nebraska', 17: 'Kentucky', 28: 'Nevada', 7: 'Delaware', 20: 'Maryland', 46: 'Virginia', 0: 'Alabama', 42: 'Tennessee', 26: 'Montana', 33: 'North Carolina', 15: 'Iowa', 13: 'Illinois', 45: 'Vermont', 18: 'Louisiana', 6: 'Connecticut', 19: 'Maine', 36: 'Oklahoma', 31: 'New Mexico', 24: 'Mississippi', 34: 'North Dakota', 39: 'Rhode Island', 49: 'Wisconsin', 29: 'New Hampshire', 5: 'Colorado', 50: 'Wyoming', 3: 'Arkansas', 1: 'Alaska', 8: 'District of Columbia (DC)'}",False
q34,"{'$0-$9,999': 0, '$50,000-$74,999': 8, '$200,000+': 6, '$25,000-$49,999': 7, '$150,000-$174,999': 4, '$100,000-$124,999': 2, '$125,000-$149,999': 3, '$10,000-$24,999': 1, nan: -1, '$75,000-$99,999': 9, '$175,000-$199,999': 5}","{0: '$0-$9,999', 8: '$50,000-$74,999', 6: '$200,000+', 7: '$25,000-$49,999', 4: '$150,000-$174,999', 2: '$100,000-$124,999', 3: '$125,000-$149,999', 1: '$10,000-$24,999', -1: nan, 9: '$75,000-$99,999', 5: '$175,000-$199,999'}",True
q35,"{'Middle Atlantic': 2, 'East North Central': 0, 'West North Central': 7, 'Pacific': 5, 'South Atlantic': 6, nan: -1, 'New England': 4, 'Mountain': 3, 'West South Central': 8, 'East South Central': 1}","{2: 'Middle Atlantic', 0: 'East North Central', 7: 'West North Central', 5: 'Pacific', 6: 'South Atlantic', -1: nan, 4: 'New England', 3: 'Mountain', 8: 'West South Central', 1: 'East South Central'}",False
racethn4,"{'Hispanic': 1, 'White': 3, 'Other': 2, 'Black': 0}","{1: 'Hispanic', 3: 'White', 2: 'Other', 0: 'Black'}",False
educ4,"{'College or more': 3, 'Some college': 1, 'Post graduate degree': 2, 'High school or less': 0}","{3: 'College or more', 1: 'Some college', 2: 'Post graduate degree', 0: 'High school or less'}",True
age3,"{'35 - 64': 1, '65 and up': 2, '18 - 34': 0}","{1: '35 - 64', 2: '65 and up', 0: '18 - 34'}",True
orientation,"{'Gay/Bisexual': 0, 'Straight': 3, 'No answer': 1, 'Other': 2}","{0: 'Gay/Bisexual', 3: 'Straight', 1: 'No answer', 2: 'Other'}",False
employment_status,"{'not looking for work': 1, 'retired': 2, 'working full-time': 4, 'student': 3, 'working part-time': 5, 'looking for work': 0, nan: -1}","{1: 'not looking for work', 2: 'retired', 4: 'working full-time', 3: 'student', 5: 'working part-time', 0: 'looking for work', -1: nan}",False
os,"{'Windows': 2, 'iOS': 3, nan: -1, 'MacOS': 1, 'Android': 0}","{2: 'Windows', 3: 'iOS', -1: nan, 1: 'MacOS', 0: 'Android'}",False
device,"{'Desktop / Laptop': 0, 'Phone / Tablet': 1, nan: -1}","{0: 'Desktop / Laptop', 1: 'Phone / Tablet', -1: nan}",False
